parent_doc_id,business_function,attachment_download_policy,attachment_rag_policy,attachment_user_delivery_policy,attachment_id,display_name,file_format,detected_format,download_method,download_status,processing_policy,indexable,needs_review,classification_reason,attachment_role,contains_fillable_fields,contains_instructions,has_unique_information,duplicates_parent_content,is_scanned_candidate,ocr_required,extraction_quality,text_extraction_status,extracted_text_chars,source_page_url,official_download_url,download_url_observed,user_action_url,local_path,size_bytes,sha256,error,change_status,previous_sha256,previous_manifest_path
BI-001,예금보험금 안내,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,c1538f122d56d7fb,손해담보 약정서 (HWP),HWP,HWP,gfn_downloadFile,downloaded,download_no_index,False,True,설명 텍스트는 충분하지만 문서 역할이 불명확하여 사람 검토 필요,unknown,False,False,False,False,False,False,good,success,445,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,,blob:https://www.kdic.or.kr/c1255cf0-2d67-4cc7-a462-7bf3080d6953,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,raw/assets/예금보험금 안내/BI-001/attachments/c1538f122d56d7fb_손해담보 약정서.hwp,39936,51309b1a619e21be4c5b2ec3e2967ecd092bc80b2e7b05c67c055436d64d395d,,unchanged,51309b1a619e21be4c5b2ec3e2967ecd092bc80b2e7b05c67c055436d64d395d,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
BI-001,예금보험금 안내,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,c357759570c48b8f,손해담보 약정서 (PDF),PDF,PDF,gfn_downloadFile,downloaded,download_no_index,False,True,짧거나 설명 가치가 낮은 파일,unknown,False,False,False,False,False,False,good,success,337,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,,blob:https://www.kdic.or.kr/82631082-d2aa-4ce3-a052-07861e90400b,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,raw/assets/예금보험금 안내/BI-001/attachments/c357759570c48b8f_손해담보 약정서.pdf,55999,7d3c2393b3b908e121ce649eac51cc9b09ec9ab565734bf5dec45125afec1916,,unchanged,7d3c2393b3b908e121ce649eac51cc9b09ec9ab565734bf5dec45125afec1916,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
MT-007,착오송금 반환 신청,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,1ac08b57dd0cb667,HWP 착오송금액반환요구에대한 이의제기서양식,HWP,HWP,gfn_downloadFile,downloaded,download_no_index,False,False,신청서·동의서·위임장·샘플 등 작성용 자료,form,True,False,False,False,False,False,good,success,354,https://fins.kdic.or.kr/ir/aplygudn/MsdrAddrsePossDcmntGudn/selectScrn.do,,blob:https://fins.kdic.or.kr/68f0d301-129b-48a3-9046-2c43c8512a43,https://fins.kdic.or.kr/ir/aplygudn/MsdrAddrsePossDcmntGudn/selectScrn.do,raw/assets/착오송금 반환 신청/MT-007/attachments/1ac08b57dd0cb667_10_착오송금액반환요구에대한 이의제기서양식.hwp,15360,52ea492c282cb8be538408c7ded12406c8436f2209fc0ece981e342d161ecbb6,,unchanged,52ea492c282cb8be538408c7ded12406c8436f2209fc0ece981e342d161ecbb6,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
MT-007,착오송금 반환 신청,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,5a87fb970fdc48c6,PDF 착오송금액반환요구에대한 이의제기서양식,PDF,PDF,gfn_downloadFile,downloaded,download_no_index,False,False,신청서·동의서·위임장·샘플 등 작성용 자료,form,True,False,False,False,False,False,good,success,269,https://fins.kdic.or.kr/ir/aplygudn/MsdrAddrsePossDcmntGudn/selectScrn.do,,blob:https://fins.kdic.or.kr/a3c971b8-595f-4e50-9cf7-6425c1427ca7,https://fins.kdic.or.kr/ir/aplygudn/MsdrAddrsePossDcmntGudn/selectScrn.do,raw/assets/착오송금 반환 신청/MT-007/attachments/5a87fb970fdc48c6_10_착오송금액반환요구에대한 이의제기서양식.pdf,80953,8028565dfe1373919053e0d8e34e9face69e7d37e6e4ecd36ec6ffc8018150df,,unchanged,8028565dfe1373919053e0d8e34e9face69e7d37e6e4ecd36ec6ffc8018150df,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
MT-007,착오송금 반환 신청,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,5154f2b5793eca16,HWP 착오송금액반환관련 이체수수료환급신청서양식,HWP,HWP,gfn_downloadFile,downloaded,download_no_index,False,False,신청서·동의서·위임장·샘플 등 작성용 자료,form,True,False,False,False,False,False,good,success,217,https://fins.kdic.or.kr/ir/aplygudn/MsdrAddrsePossDcmntGudn/selectScrn.do,,blob:https://fins.kdic.or.kr/25ada278-f552-430c-9073-2089ecbb5b7f,https://fins.kdic.or.kr/ir/aplygudn/MsdrAddrsePossDcmntGudn/selectScrn.do,raw/assets/착오송금 반환 신청/MT-007/attachments/5154f2b5793eca16_11_착오송금액반환관련 이체수수료환급신청서양식.hwp,14848,fa17a2beb8bc349b11b9f36d928ad5cf9f04fe319e2413c2e89b247c2771c399,,unchanged,fa17a2beb8bc349b11b9f36d928ad5cf9f04fe319e2413c2e89b247c2771c399,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
MT-007,착오송금 반환 신청,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,7103c0f0652d6ebe,PDF 착오송금액반환관련 이체수수료환급신청서양식,PDF,PDF,gfn_downloadFile,downloaded,download_no_index,False,False,신청서·동의서·위임장·샘플 등 작성용 자료,form,True,False,False,False,False,False,good,success,167,https://fins.kdic.or.kr/ir/aplygudn/MsdrAddrsePossDcmntGudn/selectScrn.do,,blob:https://fins.kdic.or.kr/0d223120-24d4-45aa-bc00-f3acf17eec93,https://fins.kdic.or.kr/ir/aplygudn/MsdrAddrsePossDcmntGudn/selectScrn.do,raw/assets/착오송금 반환 신청/MT-007/attachments/7103c0f0652d6ebe_11_착오송금액반환관련 이체수수료환급신청서양식.pdf,81424,153248e995b0ca78a35cfeeb44730e7c201a9fe46ce68df66b78ce528e2297d0,,unchanged,153248e995b0ca78a35cfeeb44730e7c201a9fe46ce68df66b78ce528e2297d0,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
MT-008,착오송금 반환 신청,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,1d6895eab62b8e26,HWP 신청서양식,HWP,HWP,gfn_downloadFile,downloaded,download_no_index,False,False,신청서·동의서·위임장·샘플 등 작성용 자료,form,True,True,False,False,False,False,good,success,2234,https://fins.kdic.or.kr/ir/aplygudn/MsdrprPossDcmntGudn/selectScrn.do,,blob:https://fins.kdic.or.kr/8f0902da-a3b0-4525-843d-350e86af4245,https://fins.kdic.or.kr/ir/aplygudn/MsdrprPossDcmntGudn/selectScrn.do,raw/assets/착오송금 반환 신청/MT-008/attachments/1d6895eab62b8e26_01_신청서양식.hwp,81408,afc9c34d37b6ee8bb2ef9c10315a85910db8424d32f89b9d16ea7f8517e6970c,,unchanged,afc9c34d37b6ee8bb2ef9c10315a85910db8424d32f89b9d16ea7f8517e6970c,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
MT-008,착오송금 반환 신청,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,3868cbd684acd123,PDF 신청서양식,PDF,PDF,gfn_downloadFile,downloaded,download_no_index,False,False,신청서·동의서·위임장·샘플 등 작성용 자료,form,True,True,False,False,False,False,good,success,2111,https://fins.kdic.or.kr/ir/aplygudn/MsdrprPossDcmntGudn/selectScrn.do,,blob:https://fins.kdic.or.kr/84fd24ca-5b1d-4f98-b083-cf83e927b060,https://fins.kdic.or.kr/ir/aplygudn/MsdrprPossDcmntGudn/selectScrn.do,raw/assets/착오송금 반환 신청/MT-008/attachments/3868cbd684acd123_01_신청서양식.pdf,269730,f9cca273b5c8d605976e0d17a29c680a6a0f069b0f4d0a6c7e1446fa831b1e31,,unchanged,f9cca273b5c8d605976e0d17a29c680a6a0f069b0f4d0a6c7e1446fa831b1e31,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
MT-008,착오송금 반환 신청,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,bd67a665b2b7c7e7,HWP 금융거래정보 제공 요구(동의)서,HWP,HWP,gfn_downloadFile,downloaded,download_no_index,False,False,신청서·동의서·위임장·샘플 등 작성용 자료,form,True,False,False,False,False,False,good,success,737,https://fins.kdic.or.kr/ir/aplygudn/MsdrprPossDcmntGudn/selectScrn.do,,blob:https://fins.kdic.or.kr/486e43a6-5cbd-485b-b759-26ade01e04d4,https://fins.kdic.or.kr/ir/aplygudn/MsdrprPossDcmntGudn/selectScrn.do,raw/assets/착오송금 반환 신청/MT-008/attachments/bd67a665b2b7c7e7_02_금융거래정보 제공 요구(동의)서.hwp,62976,d00f6bbb3f06654fe68c0412d64fa5048e1685a02d5e0521372c5135098a4eef,,unchanged,d00f6bbb3f06654fe68c0412d64fa5048e1685a02d5e0521372c5135098a4eef,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
MT-008,착오송금 반환 신청,O,auto_classify_guide_only,direct_official_url_if_stable_else_source_page,7c956629709503c4,PDF 금융거래정보 제공 요구(동의)서,PDF,PDF,gfn_downloadFile,downloaded,download_no_index,False,False,신청서·동의서·위임장·샘플 등 작성용 자료,form,True,False,False,False,False,False,good,success,718,https://fins.kdic.or.kr/ir/aplygudn/MsdrprPossDcmntGudn/selectScrn.do,,blob:https://fins.kdic.or.kr/c134a72a-389f-4d98-bc17-341d9d8ec00d,https://fins.kdic.or.kr/ir/aplygudn/MsdrprPossDcmntGudn/selectScrn.do,raw/assets/착오송금 반환 신청/MT-008/attachments/7c956629709503c4_02_금융거래정보 제공 요구(동의)서.pdf,64866,256442dadf34d109979fed03f617fc6c0e18cf110b7293fa588b95dd559323e8,,unchanged,256442dadf34d109979fed03f617fc6c0e18cf110b7293fa588b95dd559323e8,/content/kdic_crawl_output_20260721_110806/processed/attachment_manifest.jsonl
