parent_doc_id,business_function,title,supplementary_id,label,url,link_type,indexable,content_status,display_condition,media_urls,notice
MT-001,착오송금 반환 신청,잘못 보낸 돈 되찾기 서비스 (착오송금 반환지원 제도),6c133695917a0770,착오송금 반환지원 제도 소개 영상 보기,https://www.kdic.or.kr/sp/kmrs/kmrsItrd/selectScrn.do,video,False,reference_only,user_requests_video,['https://www.kdic.or.kr/assets/images/ci.mp4'],영상은 이해를 돕는 참고 자료이며 최신 제도 답변의 직접 근거로 사용하지 않습니다.
MT-009,착오송금 반환 신청,반환지원절차,64df403512ed34e0,착오송금 반환지원 절차 웹툰 보기,https://fins.kdic.or.kr/ir/aplygudn/MtrsGvbkSprtProc/selectScrn.do,webtoon,False,reference_only,user_requests_visual_guide,,웹툰은 참고용 시각 자료이며 금액·신청 조건은 현재 공식 본문을 우선합니다.
