url_id,business_function,page_title,status,status_code,content_chars,quality_status,quality_reasons,retention_ratio,faq_count,table_count,action_count,attachment_count,downloaded_attachment_count,image_count,video_count,supplementary_link_count,asset_failure_count,pagination_detected,pagination_is_complete,pagination_page_count,pagination_failure_count,raw_html_path,response_meta_path,parsed_markdown_path,parsed_json_path,error_type,error,started_at,finished_at
UN-004,고객 미수령금 신청,상속인 금융거래조회,parse_success,200.0,1213,pass,,1.0,0,0,1,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/고객 미수령금 신청/UN-004.html,raw/response_meta/고객 미수령금 신청/UN-004.json,parsed/markdown/고객 미수령금 신청/UN-004.md,parsed/json/고객 미수령금 신청/UN-004.json,,,2026-07-21T11:21:16+09:00,2026-07-21T11:21:19+09:00
MT-001,착오송금 반환 신청,잘못 보낸 돈 되찾기 서비스 (착오송금 반환지원 제도),parse_success,200.0,84,pass,,1.0,0,0,0,0,0,1.0,1.0,1.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-001.html,raw/response_meta/착오송금 반환 신청/MT-001.json,parsed/markdown/착오송금 반환 신청/MT-001.md,parsed/json/착오송금 반환 신청/MT-001.json,,,2026-07-21T11:21:20+09:00,2026-07-21T11:21:23+09:00
MT-002,착오송금 반환 신청,착오송금 반환지원 절차,parse_success,200.0,576,pass,,1.0,0,0,0,0,0,1.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-002.html,raw/response_meta/착오송금 반환 신청/MT-002.json,parsed/markdown/착오송금 반환 신청/MT-002.md,parsed/json/착오송금 반환 신청/MT-002.json,,,2026-07-21T11:21:24+09:00,2026-07-21T11:21:26+09:00
MT-003,착오송금 반환 신청,착오송금 반환지원 신청방법,parse_success,200.0,238,pass,,1.0,0,0,2,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-003.html,raw/response_meta/착오송금 반환 신청/MT-003.json,parsed/markdown/착오송금 반환 신청/MT-003.md,parsed/json/착오송금 반환 신청/MT-003.json,,,2026-07-21T11:21:27+09:00,2026-07-21T11:21:30+09:00
MT-004,착오송금 반환 신청,착오송금 반환지원 FAQ,paginated_full_collection_created,200.0,2196,pass,,1.0,12,0,0,0,0,0.0,0.0,0.0,0.0,True,True,2,0.0,raw/html/착오송금 반환 신청/MT-004.html,raw/response_meta/착오송금 반환 신청/MT-004.json,parsed/markdown/착오송금 반환 신청/MT-004.md,parsed/json/착오송금 반환 신청/MT-004.json,,,2026-07-21T11:21:31+09:00,2026-07-21T11:21:34+09:00
MT-005,착오송금 반환 신청,착오송금 반환지원 주요 FAQ,parse_success,200.0,1734,pass,,1.0,10,0,0,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-005.html,raw/response_meta/착오송금 반환 신청/MT-005.json,parsed/markdown/착오송금 반환 신청/MT-005.md,parsed/json/착오송금 반환 신청/MT-005.json,,,2026-07-21T11:21:36+09:00,2026-07-21T11:21:37+09:00
MT-006,착오송금 반환 신청,착오송금 수취인 유의사항,parse_success,200.0,688,pass,,1.0,0,0,1,0,0,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-006.html,raw/response_meta/착오송금 반환 신청/MT-006.json,parsed/markdown/착오송금 반환 신청/MT-006.md,parsed/json/착오송금 반환 신청/MT-006.json,,,2026-07-21T11:21:38+09:00,2026-07-21T11:21:40+09:00
MT-007,착오송금 반환 신청,착오송금 수취인 구비서류 안내,parse_success,200.0,518,pass,,1.0,0,1,4,4,4,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-007.html,raw/response_meta/착오송금 반환 신청/MT-007.json,parsed/markdown/착오송금 반환 신청/MT-007.md,parsed/json/착오송금 반환 신청/MT-007.json,,,2026-07-21T11:21:41+09:00,2026-07-21T11:21:43+09:00
MT-008,착오송금 반환 신청,착오송금인 구비서류 안내,parse_success,200.0,3656,pass,,1.0,0,5,20,20,20,0.0,0.0,0.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-008.html,raw/response_meta/착오송금 반환 신청/MT-008.json,parsed/markdown/착오송금 반환 신청/MT-008.md,parsed/json/착오송금 반환 신청/MT-008.json,,,2026-07-21T11:21:44+09:00,2026-07-21T11:21:45+09:00
MT-009,착오송금 반환 신청,반환지원절차,parse_success,200.0,506,pass,,1.0,0,0,0,0,0,1.0,0.0,1.0,0.0,False,True,1,0.0,raw/html/착오송금 반환 신청/MT-009.html,raw/response_meta/착오송금 반환 신청/MT-009.json,parsed/markdown/착오송금 반환 신청/MT-009.md,parsed/json/착오송금 반환 신청/MT-009.json,,,2026-07-21T11:21:47+09:00,2026-07-21T11:21:48+09:00
